,gene,best_fit
4893,Ptcd3,other
4898,Ptges,other
4901,Ptgr2,other
4914,Ptpn21,other
4933,Pvrl2,other
4944,Qdpr,other
4947,Rab1,other
4956,Rab27a,other
4957,Rab28,other
4970,Rab4a,other
4972,Rab5a,other
4988,Rad52,other
4993,Rai12,other
5000,Raly,other
5001,Ralyl,other
5004,Ranbp10,other
5005,Ranbp9,other
5006,Rangap1,other
5007,Rap1b,other
5024,Rasgrp3,other
5030,Rassf2,other
5046,Rbm4,other
5048,Rbm43,other
5051,Rbm6,other
5052,Rbm8a,other
5054,Rbms1,other
5057,Rbp2,other
5075,Rec8,other
5086,Rela,other
5091,Renbp,other
5101,Rexo1,other
5106,Rftn2,other
5117,Rgs1,other
5118,Rgs12,other
5124,Rgs7bp,other
5129,Rheb,other
5130,Rhob,other
5140,Ric3,other
5142,Rif1,other
5145,Rin2,other
5148,Riok1,other
5153,Rit2,other
5157,Rn18s,other
5161,Rnasen,other
5162,Rnaset2b,other
5170,Rnf128,other
5174,Rnf148,other
5176,Rnf168,other
5177,Rnf181,other
5183,Rnf24,other
5188,Rnf41,other
5189,Rnf44,other
5200,Rp2h,other
5204,Rpe,other
5206,Rpl10a,other
5207,Rpl12,other
5212,Rpl23,other
5213,Rpl24,other
5220,Rpl7a,other
5229,Rprml,other
5241,Rps6ka1,other
5246,Rps9,other
5262,Rsf1,other
5263,Rspo3,other
5266,Rtel1,other
5279,Ruvbl2,other
5282,Rwdd3,other
5285,Ryr1,other
5292,S100a16,other
5300,Sall2,other
5304,Samd4b,other
5310,Saps2,other
5314,Sat2,other
5317,Sbds,other
5323,Scamp2,other
5326,Scara5,other
5337,Scmh1,other
5348,Scp2,other
5350,Scube1,other
5355,Sdad1,other
5371,Sec63,other
5374,Selenbp2,other
5378,Sema3e,other
5386,Senp2,other
5388,Senp8,other
5399,Serf1,other
5408,Serpina5,other
5414,Serping1,other
5416,Serpini1,other
5423,Setdb2,other
5424,Sez6l2,other
5427,Sf3b2,other
5432,Sfrp2,other
5439,Sfrs9,other
5440,Sft2d3,other
5447,Sgk1,other
5451,Sgsh,other
5455,Sh2b1,other
5464,Sh3d19,other
5465,Sh3gl2,other
5468,Sh3pxd2b,other
5473,Shd,other
5474,Shfm1,other
5480,Siah1b,other
5503,Slain2,other
5506,Slamf9,other
5511,Slc12a6,other
5513,Slc15a1,other
5517,Slc16a9,other
5527,Slc1a5,other
5528,Slc20a1,other
5530,Slc22a4,other
5531,Slc22a5,other
5532,Slc23a2,other
5534,Slc24a6,other
5539,Slc25a17,other
5540,Slc25a19,other
5543,Slc25a32,other
5544,Slc25a34,other
5548,Slc25a38,other
5551,Slc26a2,other
5553,Slc27a2,other
5572,Slc35b4,other
5577,Slc38a11,other
5584,Slc3a2,other
5588,Slc45a2,other
5590,Slc46a1,other
5601,Slc6a8,other
5602,Slc6a9,other
5604,Slc7a14,other
5606,Slc7a7,other
5609,Slc9a1,other
5613,Slco3a1,other
5614,Slco4a1,other
5622,Slk,other
5623,Slmap,other
5626,Smad1,other
5638,Smc1a,other
5644,Smpd2,other
5654,Snap91,other
5655,Snapc1,other
5656,Snapin,other
5659,Sncg,other
5663,Snhg11,other
5664,Snn,other
5668,Snrpb,other
5678,Snx14,other
5686,Snx7,other
5699,Sord,other
5706,Sox9,other
5718,Spata6,other
5721,Spcs3,other
5722,Spdef,other
5723,Specc1,other
5737,Spp1,other
5739,Sprr2a,other
5742,Spsb3,other
5747,Srebf2,other
5756,Srr,other
5758,Srrm2,other
5759,Srxn1,other
5761,Ssbp2,other
5763,Ssbp4,other
5794,Stat3,other
5796,Stau2,other
5805,Stk11,other
5808,Stk25,other
5812,Stmn3,other
5817,Stub1,other
5827,Suhw2,other
5828,Suhw4,other
5834,Sumo1,other
5848,Sval1,other
5859,Syne2,other
5868,Sys1,other
5872,Syvn1,other
5873,Tac1,other
5879,Taf15,other
5888,Tapt1,other
5897,Tbc1d13,other
5906,Tbc1d5,other
5915,Tbpl1,other
5917,Tbrg4,other
5919,Tbxas1,other
5927,Tceb2,other
5929,Tcf12,other
5932,Tcf25,other
5934,Tcf7,other
5936,Tcfcp2,other
5944,Tdg,other
5948,Tec,other
5955,Tex9,other
5957,Tfb1m,other
5964,Tgfb1,other
5967,Tgfb3,other
5975,Th1l,other
5976,Tha1,other
5984,Them2,other
5986,Thex1,other
5987,Thnsl1,other
5988,Thoc1,other
5992,Thoc5,other
5996,Thsd4,other
5997,Thsd7b,other
6000,Thy1,other
6002,Tia1,other
6009,Timm10,other
6019,Tinagl,other
6026,Tkt,other
6038,Tlr7,other
6043,Tm6sf1,other
6048,Tmc5,other
6054,Tmco3,other
6055,Tmed2,other
6073,Tmem132e,other
6074,Tmem134,other
6090,Tmem178,other
6092,Tmem181,other
6096,Tmem192,other
6105,Tmem33,other
6109,Tmem41a,other
6114,Tmem45b,other
6130,Tmem81,other
6135,Tmem97,other
6136,Tmem98,other
6142,Tmprss2,other
6148,Tmub2,other
6154,Tnfaip8l2,other
6165,Tnfsf12-tnfsf13,other
6168,Tnip1,other
6172,Tnpo3,other
6174,Tnrc6a,other
6181,Tom1,other
6182,Tom1l1,other
6188,Top2a,other
6193,Tor1b,other
6215,Traf3ip2,other
6217,Traf7,other
6224,Trdmt1,other
6225,Trem2,other
6228,Trfp,other
6229,Trib3,other
6232,Trim16,other
6236,Trim25,other
6248,Trim46,other
6254,Triobp,other
6271,Trpm5,other
6273,Trps1,other
6276,Trub2,other
