,gene,bimodal,expo,gamma,longtail,other,winner
355,2610204M08Rik,,,1.0,,,gamma
356,2610206C17Rik,,1.0,,,,expo
357,2610207I05Rik,1.0,4.0,,,3.0,expo
358,2610208M17Rik,,,1.0,,3.0,other
359,2610209A20Rik,,,1.0,,,gamma
360,2610209M04Rik,,1.0,,,,expo
361,2610307O08Rik,,,1.0,,,gamma
362,2610318N02Rik,,2.0,,1.0,1.0,expo
363,2610507B11Rik,,1.0,4.0,,2.0,gamma
364,2610510H03Rik,,1.0,,,,expo
365,2610510J17Rik,,,5.0,,,gamma
366,2610524H06Rik,,,3.0,,2.0,gamma
367,2610528J11Rik,,1.0,,,,expo
368,2700007P21Rik,,4.0,2.0,2.0,1.0,expo
369,2700023E23Rik,,1.0,,,,expo
370,2700033N17Rik,,,1.0,,,gamma
371,2700049A03Rik,,1.0,2.0,,,gamma
372,2700060E02Rik,2.0,1.0,6.0,1.0,2.0,gamma
373,2700062C07Rik,1.0,,4.0,,3.0,gamma
374,2700079J08Rik,,2.0,,,,expo
375,2700081O15Rik,,,,,2.0,other
376,2700089E24Rik,,,,,1.0,other
377,2700094K13Rik,,,3.0,,,gamma
378,2810001G20Rik,,,1.0,,,gamma
379,2810004N23Rik,,1.0,8.0,,,gamma
380,2810008M24Rik,,3.0,2.0,,1.0,expo
381,2810021J22Rik,,,1.0,,,gamma
382,2810022L02Rik,,,1.0,,,gamma
383,2810025M15Rik,,,1.0,,2.0,other
384,2810032E02Rik,,1.0,,,,expo
385,2810043G22Rik,,,1.0,,,gamma
386,2810043O03Rik,,2.0,,,,expo
387,2810046L04Rik,,,,,3.0,other
388,2810055F11Rik,,,,,1.0,other
389,2810403A07Rik,,,5.0,,1.0,gamma
390,2810405J04Rik,,,,,1.0,other
391,2810405K02Rik,,,,,3.0,other
392,2810408A11Rik,,1.0,,,2.0,other
393,2810408M09Rik,,,2.0,,4.0,other
394,2810410C14Rik,,,,,4.0,other
395,2810417H13Rik,,1.0,6.0,,,gamma
396,2810422O20Rik,,,1.0,,3.0,other
397,2810429I04Rik,,1.0,,,,expo
398,2810432D09Rik,1.0,,,,,bimodal
399,2810439F02Rik,,,2.0,,3.0,other
400,2810452K22Rik,,,1.0,,,gamma
401,2810453I06Rik,,1.0,3.0,1.0,1.0,gamma
402,2810474O19Rik,,6.0,1.0,1.0,1.0,expo
403,2810485I05Rik,,1.0,,,,expo
404,2900011O08Rik,,,3.0,,1.0,gamma
405,2900024C23Rik,,,,,1.0,other
406,2900024O10Rik,,,1.0,,,gamma
407,2900026A02Rik,,2.0,,,,expo
408,2900041M22Rik,,,1.0,,,gamma
409,2900056M20Rik,,1.0,,,,expo
410,2900062L11Rik,,1.0,,,,expo
411,2900075B16Rik,,1.0,,,,expo
412,2900097C17Rik,,,1.0,2.0,,longtail
413,3000004C01Rik,,4.0,5.0,,,gamma
414,3010026O09Rik,,,1.0,,5.0,other
415,3100002J23Rik,,,1.0,,,gamma
416,3110001A13Rik,,,1.0,,,gamma
417,3110004L20Rik,,,1.0,,,gamma
418,3110009E18Rik,,2.0,,,1.0,expo
419,3110021A11Rik,,1.0,,,,expo
420,3110021N24Rik,,,,,1.0,other
421,3110040M04Rik,,,1.0,,,gamma
422,3110040N11Rik,,1.0,,,,expo
423,3110043J09Rik,,3.0,1.0,,1.0,expo
424,3110049J23Rik,,,1.0,,,gamma
425,3110053B16Rik,,,1.0,,,gamma
426,3110056O03Rik,2.0,,,1.0,,bimodal
427,3110057O12Rik,,1.0,1.0,,4.0,other
428,3200002M19Rik,,1.0,4.0,,,gamma
429,3222402P14Rik,,,,,1.0,other
430,3300001G02Rik,,1.0,4.0,,,gamma
431,3300001P08Rik,1.0,1.0,1.0,,4.0,other
432,3300002I08Rik,,,1.0,,2.0,other
433,3632451O06Rik,,1.0,,,,expo
434,3830406C13Rik,,3.0,4.0,,2.0,gamma
435,3830431G21Rik,,1.0,,,,expo
436,3930401B19Rik,,2.0,,,,expo
437,3930401K13Rik,,,,,4.0,other
438,4432416J03Rik,,,1.0,,,gamma
439,4631427C17Rik,,,3.0,,2.0,gamma
440,4632404H12Rik,,,5.0,,4.0,gamma
441,4632411B12Rik,,,1.0,,,gamma
442,4632415K11Rik,,,,,1.0,other
443,4632417K18Rik,,,1.0,,,gamma
444,4632417N05Rik,,,1.0,,2.0,other
445,4632419K20Rik,,,,3.0,,longtail
446,4632427E13Rik,,,1.0,,,gamma
447,4632428C04Rik,,1.0,,,,expo
448,4632433K11Rik,,3.0,1.0,1.0,,expo
449,4732414G09Rik,,,1.0,,,gamma
450,4732418C07Rik,,1.0,2.0,,4.0,other
451,4732429D16Rik,,,,,1.0,other
452,4732456N10Rik,,,1.0,,,gamma
453,4732460K03Rik,,1.0,,,,expo
454,4732471D19Rik,,,1.0,,,gamma
455,4732479N06Rik,,,1.0,,3.0,other
456,4732487G21Rik,,1.0,,,,expo
457,4732496O08Rik,,1.0,3.0,,,gamma
458,4831426I19Rik,,4.0,2.0,,,expo
459,4833418A01Rik,,,1.0,,,gamma
460,4833420G17Rik,,5.0,4.0,2.0,2.0,expo
461,4833424O15Rik,,,1.0,,,gamma
462,4833426J09Rik,,,1.0,,,gamma
463,4833427F10Rik,,,1.0,,,gamma
464,4833439L19Rik,,,,,5.0,other
465,4833442J19Rik,,,,,1.0,other
466,4921505C17Rik,,1.0,,,,expo
467,4921507P07Rik,,1.0,,,,expo
468,4921511H13Rik,,1.0,,,,expo
469,4921520G13Rik,,,,,4.0,other
470,4921523L03Rik,,1.0,,,,expo
471,4921531C22Rik,,,1.0,,,gamma
472,4921536K21Rik,,1.0,,,,expo
473,4922501C03Rik,,,1.0,,3.0,other
474,4922502D21Rik,,,1.0,,2.0,other
475,4930402H24Rik,,4.0,2.0,,,expo
476,4930403C10Rik,,,,1.0,,longtail
477,4930404N11Rik,,2.0,,,,expo
478,4930408O21Rik,2.0,3.0,,,,expo
479,4930412C18Rik,,,1.0,,,gamma
480,4930412O13Rik,,,1.0,,,gamma
481,4930422G04Rik,,,,,1.0,other
482,4930422I07Rik,,,1.0,,,gamma
483,4930426D05Rik,1.0,,,,,bimodal
484,4930426L09Rik,,1.0,,,,expo
485,4930427A07Rik,,,,,4.0,other
486,4930430F08Rik,,,2.0,,,gamma
487,4930431B09Rik,,,,,1.0,other
488,4930432O21Rik,,3.0,1.0,1.0,,expo
