,gene,p,comp,f-test
328,Casc3,0.15756357318762648,expo_gamma,ns
329,Casc4,6.103884064856402e-11,expo_gamma,sig
330,Cask,1.0,expo_gamma,ns
331,Casp1,1.1102230246251565e-16,expo_gamma,sig
332,Casp8,0.24345841603026952,expo_gamma,ns
333,Cbfa2t2,1.0,expo_gamma,ns
334,Cbl,0.00037742669113483007,expo_gamma,sig
335,Cblb,0.9999875109695261,expo_gamma,ns
336,Cbll1,0.010837231583015972,expo_gamma,sig
337,Cbx2,1.0,expo_gamma,ns
338,Cbx7,0.138415110865737,expo_gamma,ns
339,Ccar1,4.027673165807322e-05,expo_gamma,sig
340,Ccdc117,0.0022161184556915847,expo_gamma,sig
341,Ccdc134,0.028870393538960037,expo_gamma,sig
342,Ccdc137,0.002397994534482084,expo_gamma,sig
343,Ccdc173,0.9993258308109163,expo_gamma,ns
344,Ccdc22,0.9995054810804519,expo_gamma,ns
345,Ccdc66,0.9941803616708459,expo_gamma,ns
346,Ccdc69,0.0,expo_gamma,sig
347,Ccdc77,0.4080077447691177,expo_gamma,ns
348,Ccdc82,0.0,expo_gamma,sig
349,Ccdc91,0.029381091148099614,expo_gamma,sig
350,Cckar,0.16209750354699082,expo_gamma,ns
351,Ccl25,0.2501063066539102,expo_gamma,ns
352,Ccl4,1.0,expo_gamma,ns
353,Ccl5,0.00018141762843693066,expo_gamma,sig
354,Ccn4,0.2827887876321096,expo_gamma,ns
355,Ccnb1ip1,0.00335507958743686,expo_gamma,sig
356,Ccng2,0.006609029248166087,expo_gamma,sig
357,Ccnh,0.16827442873274479,expo_gamma,ns
358,Ccni,0.1841039075414902,expo_gamma,ns
359,Ccnt1,0.23482795153770009,expo_gamma,ns
360,Ccr3,0.35854212419476217,expo_gamma,ns
361,Ccr6,0.007701630036380247,expo_gamma,sig
362,Ccr9,0.01370037418129011,expo_gamma,sig
363,Ccsap,0.20573790056655605,expo_gamma,ns
364,Cct4,0.198265420743168,expo_gamma,ns
365,Cd163l1,1.0,expo_gamma,ns
366,Cd164,1.0,expo_gamma,ns
367,Cd2,0.0003799626004166168,expo_gamma,sig
368,Cd200r2,0.08717741816591318,expo_gamma,ns
369,Cd247,0.06646088754746338,expo_gamma,ns
370,Cd28,0.3065679586862351,expo_gamma,ns
371,Cd320,0.0029164273730363233,expo_gamma,sig
372,Cd37,0.9994264722540458,expo_gamma,ns
373,Cd3e,6.661338147750939e-16,expo_gamma,sig
374,Cd4,1.1102230246251565e-16,expo_gamma,sig
375,Cd40lg,0.03146096154467293,expo_gamma,sig
376,Cd44,0.03529229262613731,expo_gamma,sig
377,Cd47,0.007966467814952916,expo_gamma,sig
378,Cd5,1.0,expo_gamma,ns
379,Cd69,0.2177416470703144,expo_gamma,ns
380,Cd81,0.05962988646577061,expo_gamma,ns
381,Cd82,1.0,expo_gamma,ns
382,Cd84,0.13090223084644415,expo_gamma,ns
383,Cd9,1.0,expo_gamma,ns
384,Cdadc1,0.9990998824305677,expo_gamma,ns
385,Cdc14b,0.1980109422266234,expo_gamma,ns
386,Cdc16,0.16192872982221906,expo_gamma,ns
387,Cdc23,0.20212407953125477,expo_gamma,ns
388,Cdc26,0.02934890070766849,expo_gamma,sig
389,Cdc42,1.995624718809097e-07,expo_gamma,sig
390,Cdc42ep3,0.06329905976158112,expo_gamma,ns
391,Cdc42se2,0.042332252827509076,expo_gamma,sig
392,Cdca4,0.26630592859859226,expo_gamma,ns
393,Cdk14,1.0,expo_gamma,ns
394,Cdk19,5.08917018848809e-06,expo_gamma,sig
395,Cdk5rap1,0.003934497346953947,expo_gamma,sig
396,Cdk7,1.0,expo_gamma,ns
397,Cdk8,0.00018026785773794796,expo_gamma,sig
398,Cdkn2aip,0.05314187024587491,expo_gamma,ns
399,Cdr2,0.7886570772968403,expo_gamma,ns
400,Cebpa,1.0,expo_gamma,ns
401,Cebpb,0.0009378030153258665,expo_gamma,sig
402,Cebpd,0.04766620739840266,expo_gamma,sig
403,Cebpz,1.1102230246251565e-16,expo_gamma,sig
404,Cela1,1.596212162446875e-09,expo_gamma,sig
405,Cenpj,1.5077802183460776e-05,expo_gamma,sig
406,Cenpl,1.0,expo_gamma,ns
407,Cep120,0.4211278040826477,expo_gamma,ns
408,Cep135,0.010659184614474126,expo_gamma,sig
