,gene,best_fit
4372,LOC102643033,other
4376,LOC665506,other
4377,LOC665506.1,other
4383,Lage3,other
4402,Laptm4b_2,other
4405,Larp1b,other
4410,Lars,other
4413,Lat,other
4420,Lbh,other
4421,Lbh_1,other
4425,Lclat1,other
4427,Lcmt2,other
4430,Lcp2,other
4432,Ldlrad4_2,other
4434,Leng1,other
4444,Lgals1,other
4447,Lgals3bp,other
4449,Lgals7,other
4452,Lhpp,other
4454,Lias,other
4467,Lin7c,other
4468,Lin7c_1,other
4471,Lin9,other
4486,Lmbrd1_1,other
4487,Lmf1,other
4488,Lmna,other
4496,Lpcat3,other
4523,Lrrc1,other
4524,Lrrc20,other
4527,Lrrc42,other
4528,Lrrc56,other
4529,Lrrc57,other
4535,Lrrfip1,other
4536,Lrrfip1_1,other
4538,Lrrfip2,other
