,gene,best_fit
9639,Rab38,other
9820,Rom1,other
9838,Rpp30,other
9899,S100a4,other
10145,Slc25a3,other
10159,Slc29a1,other
10231,Slit3,other
10290,Sox5,other
10397,Stx7,other
10580,Tlcd3b,other
10696,Tmem87b,other
10770,Trafd1,other
10784,Trav3-1,other
10973,Uqcr10,other
11094,Yipf2,other
2,1110002J07Rik,gamma
4,1110046J04Rik,gamma
7,1110065P20Rik,gamma
9,1190007I07Rik,gamma
10,1300002E11Rik,gamma
11,1300017J02Rik,gamma
13,1500009L16Rik,gamma
14,1600014C23Rik,gamma
15,1600020E01Rik,gamma
17,1700001O22Rik,gamma
18,1700003E16Rik,gamma
19,1700003M07Rik,gamma
21,1700007K13Rik,gamma
23,1700012B09Rik,gamma
24,1700016C15Rik,gamma
30,1700048O20Rik,gamma
31,1700057H21Rik,gamma
34,1700101I11Rik,gamma
37,1810009J06Rik,gamma
43,1810058I24Rik,gamma
44,2010013B24Rik,gamma
45,2210016L21Rik,gamma
49,2210417A02Rik,gamma
50,2310015A10Rik,gamma
53,2310026L22Rik,gamma
54,2310030G06Rik,gamma
56,2410003L11Rik,gamma
57,2410004P03Rik,gamma
61,2600006K01Rik,gamma
65,2610507B11Rik,gamma
67,2700033N17Rik,gamma
70,2900041M22Rik,gamma
71,3110053B16Rik,gamma
72,4632427E13Rik,gamma
74,4732414G09Rik,gamma
76,4833420G17Rik,gamma
77,4833427F10Rik,gamma
81,4921531C22Rik,gamma
83,4930402H24Rik,gamma
85,4930412C18Rik,gamma
86,4930412O13Rik,gamma
91,4930556M19Rik,gamma
92,4930578M01Rik,gamma
93,4930579C12Rik,gamma
94,4930581F22Rik,gamma
95,4930599N23Rik,gamma
97,4931406G06Rik,gamma
99,4931431C16Rik,gamma
100,4932438H23Rik,gamma
101,4933405E24Rik,gamma
106,4933438A12Rik,gamma
111,5033430I15Rik,gamma
114,5730409E04Rik,gamma
115,5730420D15Rik,gamma
120,6030443J06Rik,gamma
122,6030468B19Rik,gamma
128,9130017K11Rik,gamma
129,9130213A22Rik,gamma
131,9130230L23Rik,gamma
132,9230102O04Rik,gamma
134,9330154J02Rik,gamma
137,9430041J12Rik,gamma
141,9930022D16Rik,gamma
146,A430033K04Rik,gamma
147,A430035B10Rik,gamma
150,A4galt,gamma
152,A530064D06Rik,gamma
154,A630091E08Rik,gamma
155,A730011C13Rik,gamma
157,A830012C17Rik,gamma
161,A930038B10Rik,gamma
163,AA986860,gamma
164,AI480526,gamma
166,AV064505,gamma
167,AW011738,gamma
169,AW554918,gamma
170,AY761185,gamma
174,Aard,gamma
175,Abca2,gamma
179,Abcb4,gamma
182,Abcc5,gamma
183,Abcd3,gamma
184,Abcg1,gamma
187,Abhd12,gamma
193,Abi2,gamma
194,Ablim2,gamma
195,Ablim3,gamma
197,Abtb1,gamma
200,Acad9,gamma
203,Acap1,gamma
207,Acbd5,gamma
208,Acbd7,gamma
210,Ache,gamma
211,Ackr1,gamma
215,Acot12,gamma
218,Acox1,gamma
219,Acox2,gamma
230,Actg2,gamma
231,Actn2,gamma
238,Acvrl1,gamma
239,Acy1,gamma
243,Adam3,gamma
244,Adam33,gamma
252,Adamts9,gamma
253,Adamtsl1,gamma
260,Adgrb2,gamma
263,Adgrg6,gamma
265,Adgrl2,gamma
266,Adgrl4,gamma
268,Adh4,gamma
272,Adora3,gamma
275,Adra1a,gamma
276,Adra2c,gamma
278,Adss,gamma
280,Afap1l2,gamma
282,Aff1,gamma
293,Agpat4,gamma
295,Agtr1a,gamma
299,Ahnak,gamma
300,Ahr,gamma
303,Aif1l,gamma
305,Aipl1,gamma
306,Ajuba,gamma
307,Ak1,gamma
310,Akap1,gamma
313,Akap8l,gamma
316,Akr1b8,gamma
320,Akr1cl,gamma
325,Alas2,gamma
328,Aldh1a3,gamma
331,Aldh3a1,gamma
332,Aldh3b2,gamma
339,Alk,gamma
341,Alox12,gamma
345,Alox5ap,gamma
346,Alox8,gamma
362,Ank1,gamma
363,Ank3,gamma
364,Ankfn1,gamma
367,Ankrd27,gamma
372,Ankrd35,gamma
373,Ankrd36,gamma
379,Ano3,gamma
384,Anxa1,gamma
395,Ap1m2,gamma
407,Apba2,gamma
408,Apbb1,gamma
411,Apln,gamma
417,Apoc2,gamma
419,Apof,gamma
