,gene,best_fit
1875,E430018J23Rik.1,other
1876,E4f1,other
1881,EG245297.1,other
1883,EG330503,other
1884,EG331493.1,other
1885,EG432637,other
1889,EG433923,other
1890,EG436332,other
1891,EG545370,other
1896,EG630579,other
1897,EG633640,other
1899,EG638695,other
1902,ENSMUSG00000068790,other
1904,Ebf1,other
1906,Ebp,other
1911,Edc4,other
1912,Edem2.1,other
1917,Efna1,other
1919,Efna4.1,other
1921,Efnb1,other
1922,Efr3b,other
1926,Egln1,other
1927,Egln1.1,other
1928,Egln1.2,other
1936,Ei24,other
1937,Eid1,other
1940,Eif2c3.2,other
1944,Eif4a2.2,other
1945,Eif4e2.1,other
1946,Eif4e3,other
1947,Eif4e3.1,other
1953,Eif5,other
1955,Eif5.2,other
1956,Ela1,other
1957,Elac2.2,other
1958,Elavl3,other
1959,Elf2.3,other
1966,Elmo1.4,other
1970,Elmo3,other
1971,Elmo3.1,other
1979,Emp1,other
1980,Emr1,other
1981,Emr1.1,other
1982,Emr1.2,other
1985,Eno1,other
1987,Eno3,other
1991,Enpp5,other
1993,Ensa.1,other
1994,Ensa.2,other
1995,Entpd2,other
1997,Entpd6,other
1998,Entpd6.1,other
2012,Epn2.6,other
2014,Eprs,other
2021,Ercc2.2,other
2023,Ercc3.1,other
2026,Ergic1,other
2030,Esam1,other
2037,Esr1.1,other
2038,Esrra,other
2039,Esrrb,other
2040,Etaa1,other
2044,Etfb,other
2045,Etfdh.1,other
2047,Etv1.1,other
2058,Exoc4,other
2060,Exoc8,other
2061,Exosc1,other
2062,Exosc10.1,other
2065,Exosc4,other
2067,Exosc8,other
2070,Extl3,other
2072,Eya2.1,other
2073,Eya3,other
2075,Ezh2.1,other
2077,F13a1,other
2081,F730014I05Rik.1,other
2082,F730047E07Rik.1,other
2084,Fa2h,other
2085,Fads1,other
2086,Faf1,other
2087,Fah,other
2088,Fahd2a,other
2092,Fancl.1,other
2093,Fap,other
2095,Farsa,other
2097,Fastkd1,other
2098,Fastkd5,other
2099,Fbln1.2,other
